"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.199600798403194,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,0.0996015936255092,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,0.597014925373113,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.791295746785362,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,0.49850448654039,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,1.09126984126985,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,-0.0981354268891179,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.294695481335942,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.489715964740462,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,0.292397660818725,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,0.0971817298347804,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,0.485436893203873,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,0.579710144927537,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0.672430355427485,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.572519083969466,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,-0.0948766603415666,,
